design_name,sample_name,ipsae,ipsae_d0chn,ipsae_d0dom,confidence_score,iptm,protein_iptm,complex_plddt,complex_iplddt,ptm,complex_pde,complex_ipde,structure_file,pae_file
design_76_0_seq3,design_76_0_seq3_model_0,0.241172,0.328525,0.322393,0.6788422465324402,0.5585808753967285,0.5585808753967285,0.7089076042175293,0.6408843994140625,0.7282537817955017,1.1728572845458984,6.059108734130859,/cluster/scratch/csageder/pgdh_outputs/boltz/broad_20260228_103250/design_76_0_seq3/boltz_results_design_76_0_seq3/predictions/design_76_0_seq3/design_76_0_seq3_model_0.pdb,/cluster/scratch/csageder/pgdh_outputs/boltz/broad_20260228_103250/design_76_0_seq3/boltz_results_design_76_0_seq3/predictions/design_76_0_seq3/pae_design_76_0_seq3_model_0.npz
design_82_0_seq3,design_82_0_seq3_model_0,0.171162,0.304268,0.264004,0.675836980342865,0.4777468144893646,0.4777468144893646,0.7253595590591431,0.6970390677452087,0.6277586221694946,1.5659658908843994,6.908467769622803,/cluster/scratch/csageder/pgdh_outputs/boltz/broad_20260228_103250/design_82_0_seq3/boltz_results_design_82_0_seq3/predictions/design_82_0_seq3/design_82_0_seq3_model_0.pdb,/cluster/scratch/csageder/pgdh_outputs/boltz/broad_20260228_103250/design_82_0_seq3/boltz_results_design_82_0_seq3/predictions/design_82_0_seq3/pae_design_82_0_seq3_model_0.npz
design_77_0_seq0,design_77_0_seq0_model_0,0.158378,0.270783,0.242882,0.6772169470787048,0.4352797567844391,0.4352797567844391,0.7377011775970459,0.6846006512641907,0.6721201539039612,1.114690899848938,7.3768439292907715,/cluster/scratch/csageder/pgdh_outputs/boltz/broad_20260228_103250/design_77_0_seq0/boltz_results_design_77_0_seq0/predictions/design_77_0_seq0/design_77_0_seq0_model_0.pdb,/cluster/scratch/csageder/pgdh_outputs/boltz/broad_20260228_103250/design_77_0_seq0/boltz_results_design_77_0_seq0/predictions/design_77_0_seq0/pae_design_77_0_seq0_model_0.npz
design_91_0_seq2,design_91_0_seq2_model_0,0.109798,0.257183,0.193696,0.6688822507858276,0.396199494600296,0.396199494600296,0.7370529174804688,0.6972156763076782,0.7038574814796448,0.9528346657752991,7.314735412597656,/cluster/scratch/csageder/pgdh_outputs/boltz/broad_20260228_103250/design_91_0_seq2/boltz_results_design_91_0_seq2/predictions/design_91_0_seq2/design_91_0_seq2_model_0.pdb,/cluster/scratch/csageder/pgdh_outputs/boltz/broad_20260228_103250/design_91_0_seq2/boltz_results_design_91_0_seq2/predictions/design_91_0_seq2/pae_design_91_0_seq2_model_0.npz
design_58_0_seq0,design_58_0_seq0_model_0,0.103649,0.267489,0.202353,0.6339295506477356,0.3573050796985626,0.3573050796985626,0.7030856609344482,0.6562015414237976,0.6108455657958984,1.4732023477554321,7.852696895599365,/cluster/scratch/csageder/pgdh_outputs/boltz/broad_20260228_103250/design_58_0_seq0/boltz_results_design_58_0_seq0/predictions/design_58_0_seq0/design_58_0_seq0_model_0.pdb,/cluster/scratch/csageder/pgdh_outputs/boltz/broad_20260228_103250/design_58_0_seq0/boltz_results_design_58_0_seq0/predictions/design_58_0_seq0/pae_design_58_0_seq0_model_0.npz
design_4_0_seq2,design_4_0_seq2_model_0,0.090858,0.247977,0.170247,0.6442434191703796,0.3988480567932129,0.3988480567932129,0.7055922150611877,0.6494107246398926,0.6795105338096619,1.1435601711273193,7.943202495574951,/cluster/scratch/csageder/pgdh_outputs/boltz/broad_20260228_103250/design_4_0_seq2/boltz_results_design_4_0_seq2/predictions/design_4_0_seq2/design_4_0_seq2_model_0.pdb,/cluster/scratch/csageder/pgdh_outputs/boltz/broad_20260228_103250/design_4_0_seq2/boltz_results_design_4_0_seq2/predictions/design_4_0_seq2/pae_design_4_0_seq2_model_0.npz
design_26_0_seq2,design_26_0_seq2_model_0,0.068814,0.251086,0.171487,0.6397691965103149,0.36433225870132446,0.36433225870132446,0.7086284160614014,0.6160009503364563,0.5715793967247009,1.5971494913101196,8.018104553222656,/cluster/scratch/csageder/pgdh_outputs/boltz/broad_20260228_103250/design_26_0_seq2/boltz_results_design_26_0_seq2/predictions/design_26_0_seq2/design_26_0_seq2_model_0.pdb,/cluster/scratch/csageder/pgdh_outputs/boltz/broad_20260228_103250/design_26_0_seq2/boltz_results_design_26_0_seq2/predictions/design_26_0_seq2/pae_design_26_0_seq2_model_0.npz
design_9_0_seq0,design_9_0_seq0_model_0,0.054309,0.259685,0.163326,0.589388370513916,0.3448311686515808,0.3448311686515808,0.6505276560783386,0.5869410634040833,0.5449252724647522,1.9369568824768066,8.879209518432617,/cluster/scratch/csageder/pgdh_outputs/boltz/broad_20260228_103250/design_9_0_seq0/boltz_results_design_9_0_seq0/predictions/design_9_0_seq0/design_9_0_seq0_model_0.pdb,/cluster/scratch/csageder/pgdh_outputs/boltz/broad_20260228_103250/design_9_0_seq0/boltz_results_design_9_0_seq0/predictions/design_9_0_seq0/pae_design_9_0_seq0_model_0.npz
design_68_0_seq3,design_68_0_seq3_model_0,0.050722,0.24032,0.153682,0.6458210349082947,0.3685566484928131,0.3685566484928131,0.7151370644569397,0.6503599882125854,0.6275543570518494,1.3141896724700928,8.299670219421387,/cluster/scratch/csageder/pgdh_outputs/boltz/broad_20260228_103250/design_68_0_seq3/boltz_results_design_68_0_seq3/predictions/design_68_0_seq3/design_68_0_seq3_model_0.pdb,/cluster/scratch/csageder/pgdh_outputs/boltz/broad_20260228_103250/design_68_0_seq3/boltz_results_design_68_0_seq3/predictions/design_68_0_seq3/pae_design_68_0_seq3_model_0.npz
design_24_0_seq0,design_24_0_seq0_model_0,0.04962,0.250289,0.161004,0.6182702779769897,0.3561805188655853,0.3561805188655853,0.6837927103042603,0.6131690740585327,0.5556991696357727,1.7335288524627686,8.229671478271484,/cluster/scratch/csageder/pgdh_outputs/boltz/broad_20260228_103250/design_24_0_seq0/boltz_results_design_24_0_seq0/predictions/design_24_0_seq0/design_24_0_seq0_model_0.pdb,/cluster/scratch/csageder/pgdh_outputs/boltz/broad_20260228_103250/design_24_0_seq0/boltz_results_design_24_0_seq0/predictions/design_24_0_seq0/pae_design_24_0_seq0_model_0.npz
design_29_0_seq3,design_29_0_seq3_model_0,0.043492,0.255242,0.150681,0.5860142111778259,0.3095848858356476,0.3095848858356476,0.6551215052604675,0.5532146096229553,0.5308239459991455,1.8639914989471436,8.908658027648926,/cluster/scratch/csageder/pgdh_outputs/boltz/broad_20260228_103250/design_29_0_seq3/boltz_results_design_29_0_seq3/predictions/design_29_0_seq3/design_29_0_seq3_model_0.pdb,/cluster/scratch/csageder/pgdh_outputs/boltz/broad_20260228_103250/design_29_0_seq3/boltz_results_design_29_0_seq3/predictions/design_29_0_seq3/pae_design_29_0_seq3_model_0.npz
design_24_0_seq1,design_24_0_seq1_model_0,0.039931,0.24883,0.154873,0.6186553835868835,0.3101032078266144,0.3101032078266144,0.6957934498786926,0.5993035435676575,0.5714505910873413,1.5765012502670288,8.509157180786133,/cluster/scratch/csageder/pgdh_outputs/boltz/broad_20260228_103250/design_24_0_seq1/boltz_results_design_24_0_seq1/predictions/design_24_0_seq1/design_24_0_seq1_model_0.pdb,/cluster/scratch/csageder/pgdh_outputs/boltz/broad_20260228_103250/design_24_0_seq1/boltz_results_design_24_0_seq1/predictions/design_24_0_seq1/pae_design_24_0_seq1_model_0.npz
design_21_0_seq2,design_21_0_seq2_model_0,0.039542,0.236468,0.141607,0.6270453333854675,0.33569252490997314,0.33569252490997314,0.6998835802078247,0.6285346150398254,0.592369794845581,1.5797592401504517,8.624970436096191,/cluster/scratch/csageder/pgdh_outputs/boltz/broad_20260228_103250/design_21_0_seq2/boltz_results_design_21_0_seq2/predictions/design_21_0_seq2/design_21_0_seq2_model_0.pdb,/cluster/scratch/csageder/pgdh_outputs/boltz/broad_20260228_103250/design_21_0_seq2/boltz_results_design_21_0_seq2/predictions/design_21_0_seq2/pae_design_21_0_seq2_model_0.npz
design_83_0_seq0,design_83_0_seq0_model_0,0.038018,0.224711,0.139315,0.6082932353019714,0.36323416233062744,0.36323416233062744,0.6695579886436462,0.5866742730140686,0.5737811923027039,1.7328917980194092,8.724103927612305,/cluster/scratch/csageder/pgdh_outputs/boltz/broad_20260228_103250/design_83_0_seq0/boltz_results_design_83_0_seq0/predictions/design_83_0_seq0/design_83_0_seq0_model_0.pdb,/cluster/scratch/csageder/pgdh_outputs/boltz/broad_20260228_103250/design_83_0_seq0/boltz_results_design_83_0_seq0/predictions/design_83_0_seq0/pae_design_83_0_seq0_model_0.npz
design_6_0_seq3,design_6_0_seq3_model_0,0.036769,0.26091,0.151462,0.6310259103775024,0.30799710750579834,0.30799710750579834,0.7117830514907837,0.6491290330886841,0.5895851254463196,1.4979486465454102,8.3038969039917,/cluster/scratch/csageder/pgdh_outputs/boltz/broad_20260228_103250/design_6_0_seq3/boltz_results_design_6_0_seq3/predictions/design_6_0_seq3/design_6_0_seq3_model_0.pdb,/cluster/scratch/csageder/pgdh_outputs/boltz/broad_20260228_103250/design_6_0_seq3/boltz_results_design_6_0_seq3/predictions/design_6_0_seq3/pae_design_6_0_seq3_model_0.npz
design_60_0_seq0,design_60_0_seq0_model_0,0.034545,0.260663,0.150416,0.659708559513092,0.3234383463859558,0.3234383463859558,0.7437760829925537,0.717337429523468,0.6209819316864014,1.3147729635238647,8.308915138244629,/cluster/scratch/csageder/pgdh_outputs/boltz/broad_20260228_103250/design_60_0_seq0/boltz_results_design_60_0_seq0/predictions/design_60_0_seq0/design_60_0_seq0_model_0.pdb,/cluster/scratch/csageder/pgdh_outputs/boltz/broad_20260228_103250/design_60_0_seq0/boltz_results_design_60_0_seq0/predictions/design_60_0_seq0/pae_design_60_0_seq0_model_0.npz
