design_name,sample_name,ipsae,ipsae_d0chn,ipsae_d0dom,confidence_score,iptm,protein_iptm,complex_plddt,complex_iplddt,ptm,complex_pde,complex_ipde,structure_file,pae_file
design_8_0_seq0,design_8_0_seq0_model_0,0.176115,0.298991,0.26319,0.6621820330619812,0.4944854974746704,0.4944854974746704,0.7041061520576477,0.6294324398040771,0.6660078167915344,1.3775126934051514,7.116587162017822,/cluster/scratch/csageder/pgdh_outputs/boltz/20260228_030716/design_8_0_seq0/boltz_results_design_8_0_seq0/predictions/design_8_0_seq0/design_8_0_seq0_model_0.pdb,/cluster/scratch/csageder/pgdh_outputs/boltz/20260228_030716/design_8_0_seq0/boltz_results_design_8_0_seq0/predictions/design_8_0_seq0/pae_design_8_0_seq0_model_0.npz
design_3_0_seq2,design_3_0_seq2_model_0,0.043451,0.244467,0.137286,0.6176096796989441,0.3263061046600342,0.3263061046600342,0.6904355883598328,0.6382257342338562,0.5359614491462708,1.6519176959991455,9.016180038452148,/cluster/scratch/csageder/pgdh_outputs/boltz/20260228_030716/design_3_0_seq2/boltz_results_design_3_0_seq2/predictions/design_3_0_seq2/design_3_0_seq2_model_0.pdb,/cluster/scratch/csageder/pgdh_outputs/boltz/20260228_030716/design_3_0_seq2/boltz_results_design_3_0_seq2/predictions/design_3_0_seq2/pae_design_3_0_seq2_model_0.npz
design_0_0_seq3,design_0_0_seq3_model_0,0.035344,0.235988,0.133968,0.6232483386993408,0.37069636583328247,0.37069636583328247,0.6863863468170166,0.6097506880760193,0.6112611293792725,1.566381573677063,8.820843696594238,/cluster/scratch/csageder/pgdh_outputs/boltz/20260228_030716/design_0_0_seq3/boltz_results_design_0_0_seq3/predictions/design_0_0_seq3/design_0_0_seq3_model_0.pdb,/cluster/scratch/csageder/pgdh_outputs/boltz/20260228_030716/design_0_0_seq3/boltz_results_design_0_0_seq3/predictions/design_0_0_seq3/pae_design_0_0_seq3_model_0.npz
design_9_0_seq1,design_9_0_seq1_model_0,0.015004,0.228477,0.111201,0.6165680289268494,0.28586384654045105,0.28586384654045105,0.6992440223693848,0.5800179243087769,0.5730445981025696,1.4857838153839111,8.734574317932129,/cluster/scratch/csageder/pgdh_outputs/boltz/20260228_030716/design_9_0_seq1/boltz_results_design_9_0_seq1/predictions/design_9_0_seq1/design_9_0_seq1_model_0.pdb,/cluster/scratch/csageder/pgdh_outputs/boltz/20260228_030716/design_9_0_seq1/boltz_results_design_9_0_seq1/predictions/design_9_0_seq1/pae_design_9_0_seq1_model_0.npz
design_6_0_seq0,design_6_0_seq0_model_0,0.005278,0.224346,0.102304,0.6155051589012146,0.19410085678100586,0.19410085678100586,0.7208561897277832,0.6355683207511902,0.50146484375,1.650984525680542,10.176583290100098,/cluster/scratch/csageder/pgdh_outputs/boltz/20260228_030716/design_6_0_seq0/boltz_results_design_6_0_seq0/predictions/design_6_0_seq0/design_6_0_seq0_model_0.pdb,/cluster/scratch/csageder/pgdh_outputs/boltz/20260228_030716/design_6_0_seq0/boltz_results_design_6_0_seq0/predictions/design_6_0_seq0/pae_design_6_0_seq0_model_0.npz
design_2_0_seq3,design_2_0_seq3_model_0,0.005119,0.21966,0.063513,0.6058241724967957,0.18900588154792786,0.18900588154792786,0.7100287675857544,0.6177699565887451,0.46984121203422546,1.8989410400390625,10.68441390991211,/cluster/scratch/csageder/pgdh_outputs/boltz/20260228_030716/design_2_0_seq3/boltz_results_design_2_0_seq3/predictions/design_2_0_seq3/design_2_0_seq3_model_0.pdb,/cluster/scratch/csageder/pgdh_outputs/boltz/20260228_030716/design_2_0_seq3/boltz_results_design_2_0_seq3/predictions/design_2_0_seq3/pae_design_2_0_seq3_model_0.npz
design_1_0_seq1,design_1_0_seq1_model_0,0.005016,0.216086,0.064367,0.6112210750579834,0.19123806059360504,0.19123806059360504,0.7162168025970459,0.6509333848953247,0.49243107438087463,1.7527645826339722,10.118292808532715,/cluster/scratch/csageder/pgdh_outputs/boltz/20260228_030716/design_1_0_seq1/boltz_results_design_1_0_seq1/predictions/design_1_0_seq1/design_1_0_seq1_model_0.pdb,/cluster/scratch/csageder/pgdh_outputs/boltz/20260228_030716/design_1_0_seq1/boltz_results_design_1_0_seq1/predictions/design_1_0_seq1/pae_design_1_0_seq1_model_0.npz
design_2_0_seq2,design_2_0_seq2_model_0,0.004948,0.213873,0.040556,0.5723422765731812,0.16093140840530396,0.16093140840530396,0.6751949787139893,0.5691789984703064,0.449243426322937,2.034522533416748,10.97607421875,/cluster/scratch/csageder/pgdh_outputs/boltz/20260228_030716/design_2_0_seq2/boltz_results_design_2_0_seq2/predictions/design_2_0_seq2/design_2_0_seq2_model_0.pdb,/cluster/scratch/csageder/pgdh_outputs/boltz/20260228_030716/design_2_0_seq2/boltz_results_design_2_0_seq2/predictions/design_2_0_seq2/pae_design_2_0_seq2_model_0.npz
design_3_0_seq3,design_3_0_seq3_model_0,0.004895,0.212055,0.006901,0.5627345442771912,0.19343991577625275,0.19343991577625275,0.6550581455230713,0.5442042946815491,0.49450987577438354,1.9929372072219849,10.931195259094238,/cluster/scratch/csageder/pgdh_outputs/boltz/20260228_030716/design_3_0_seq3/boltz_results_design_3_0_seq3/predictions/design_3_0_seq3/design_3_0_seq3_model_0.pdb,/cluster/scratch/csageder/pgdh_outputs/boltz/20260228_030716/design_3_0_seq3/boltz_results_design_3_0_seq3/predictions/design_3_0_seq3/pae_design_3_0_seq3_model_0.npz
design_8_0_seq1,design_8_0_seq1_model_0,0.004853,0.210635,0.015998,0.570220410823822,0.15949854254722595,0.15949854254722595,0.6729008555412292,0.6171014904975891,0.45220717787742615,1.9248603582382202,11.06667709350586,/cluster/scratch/csageder/pgdh_outputs/boltz/20260228_030716/design_8_0_seq1/boltz_results_design_8_0_seq1/predictions/design_8_0_seq1/design_8_0_seq1_model_0.pdb,/cluster/scratch/csageder/pgdh_outputs/boltz/20260228_030716/design_8_0_seq1/boltz_results_design_8_0_seq1/predictions/design_8_0_seq1/pae_design_8_0_seq1_model_0.npz
